,Volumen,Nombre,Hora,Fecha,Stocks
178,                      98.386                  ,                      AENA                  ,                                                17:38                                        ,2018-11-09,"                      139,4000                  "
179,                      701.782                  ,                      AMADEUS                  ,                                                17:38                                        ,2018-11-09,"                      69,8600                  "
180,                      356.366                  ,                      ARCELORMITT.                  ,                                                17:38                                        ,2018-11-09,"                      22,2500                  "
181,                      14.541.919                  ,                      B.SABADELL                  ,                                                17:38                                        ,2018-11-09,"                      1,1860                  "
182,                      5.130.299                  ,                      BANKIA                  ,                                                17:38                                        ,2018-11-09,"                      2,9040                  "
183,                      1.202.725                  ,                      BANKINTER                  ,                                                17:38                                        ,2018-11-09,"                      7,5480                  "
184,                      66.481.144                  ,                      BBVA                  ,                                                17:38                                        ,2018-11-09,"                      4,9115                  "
185,                      12.743.333                  ,                      CAIXABANK                  ,                                                17:38                                        ,2018-11-09,"                      3,6700                  "
186,                      452.702                  ,                      CELLNEX                  ,                                                17:38                                        ,2018-11-09,"                      22,0200                  "
187,                      264.824                  ,                      CIE AUTOMOT.                  ,                                                17:38                                        ,2018-11-09,"                      23,1000                  "
188,                      10.491.283                  ,                      DIA                  ,                                                17:38                                        ,2018-11-09,"                      0,7176                  "
189,                      884.774                  ,                      ENAGAS                  ,                                                17:38                                        ,2018-11-09,"                      24,6000                  "
190,                      1.329.876                  ,                      ENDESA                  ,                                                17:38                                        ,2018-11-09,"                      19,8500                  "
191,                      996.773                  ,                      FERROVIAL                  ,                                                17:38                                        ,2018-11-09,"                      17,7950                  "
192,                      696.906                  ,                      GRIFOLS                  ,                                                17:38                                        ,2018-11-09,"                      26,1000                  "
193,                      1.376.457                  ,                      IAG                  ,                                                17:38                                        ,2018-11-09,"                      7,3800                  "
194,                      11.799.305                  ,                      IBERDROLA                  ,                                                17:38                                        ,2018-11-09,"                      6,5700                  "
195,                      2.429.298                  ,                      INDITEX                  ,                                                17:38                                        ,2018-11-09,"                      26,4200                  "
196,                      1.857.205                  ,                      INDRA A                  ,                                                17:38                                        ,2018-11-09,"                      8,5700                  "
197,                      463.327                  ,                      INM.COLONIAL                  ,                                                17:38                                        ,2018-11-09,"                      8,9100                  "
198,                      5.133.270                  ,                      MAPFRE                  ,                                                17:38                                        ,2018-11-09,"                      2,5480                  "
199,                      1.594.357                  ,                      MEDIASET                  ,                                                17:38                                        ,2018-11-09,"                      5,9420                  "
200,                      1.025.186                  ,                      MELIA HOTELS                  ,                                                17:38                                        ,2018-11-09,"                      8,3150                  "
201,                      670.066                  ,                      MERLIN PROP.                  ,                                                17:38                                        ,2018-11-09,"                      11,4150                  "
202,                      981.710                  ,                      NATURGY                  ,                                                17:38                                        ,2018-11-09,"                      23,1600                  "
203,                      1.153.813                  ,                      R.E.C.                  ,                                                17:38                                        ,2018-11-09,"                      19,2800                  "
204,                      4.617.009                  ,                      REPSOL                  ,                                                17:38                                        ,2018-11-09,"                      15,8500                  "
205,                      34.958.233                  ,                      SANTANDER                  ,                                                17:38                                        ,2018-11-09,"                      4,2390                  "
206,                      2.101.874                  ,                      SIEMENS GAM                  ,                                                17:38                                        ,2018-11-09,"                      12,2400                  "
207,                      201.435                  ,                      TECNICAS REU                  ,                                                17:38                                        ,2018-11-09,"                      22,4800                  "
208,                      13.045.880                  ,                      TELEFONICA                  ,                                                17:38                                        ,2018-11-09,"                      7,4690                  "
209,                      84.760                  ,                      VISCOFAN                  ,                                                17:38                                        ,2018-11-09,"                      52,4500                  "
