,Volumen,Nombre,Hora,Fecha,Stocks
496,                      6.940.577                  ,                      SKYWORKS                  ,                                                21:19                                        ,2018-11-09,"                      76,805                  "
497,                      5.915.210                  ,                      STARBUCKS                  ,                                                21:19                                        ,2018-11-09,"                      68,820                  "
498,                      5.843.631                  ,                      SYMANTEC COR                  ,                                                21:19                                        ,2018-11-09,"                      22,195                  "
499,                      466.788                  ,                      SYNOPSYS INC                  ,                                                21:19                                        ,2018-11-09,"                      93,280                  "
500,                      1.657.726                  ,"                      T-MOBILE US,                  ",                                                21:19                                        ,2018-11-09,"                      68,750                  "
501,                      5.047.966                  ,                      TAKE-TWO INT                  ,                                                21:19                                        ,2018-11-09,"                      111,960                  "
502,                      4.383.579                  ,                      TESLA MOTORS                  ,                                                21:19                                        ,2018-11-09,"                      349,636                  "
503,                      3.964.304                  ,                      TEXAS INSTRS                  ,                                                21:19                                        ,2018-11-09,"                      96,045                  "
504,                      7.913.127                  ,                      TWENTY-FIRST                  ,                                                21:19                                        ,2018-11-09,"                      48,240                  "
505,                      3.576.595                  ,                      TWENTY-FIRST                  ,                                                21:19                                        ,2018-11-09,"                      47,810                  "
506,                      1.131.679                  ,                      ULTA SALON                  ,                                                21:19                                        ,2018-11-09,"                      307,110                  "
507,                      758.956                  ,                      VERISK ANALY                  ,                                                21:19                                        ,2018-11-09,"                      123,280                  "
508,                      933.277                  ,                      VERTEX PHARM                  ,                                                21:19                                        ,2018-11-09,"                      179,270                  "
509,                      5.022.930                  ,                      VODAFONE GRP                  ,                                                21:19                                        ,2018-11-09,"                      18,805                  "
510,                      2.404.050                  ,                      WALGREENS B.                  ,                                                21:19                                        ,2018-11-09,"                      82,380                  "
511,                      4.510.841                  ,                      WESTERN DIGI                  ,                                                21:19                                        ,2018-11-09,"                      45,870                  "
512,                      1.344.154                  ,"                      WORKDAY, INC                  ",                                                21:19                                        ,2018-11-09,"                      140,090                  "
513,                      4.551.259                  ,                      WYNN RESORTS                  ,                                                21:19                                        ,2018-11-09,"                      98,480                  "
514,                      1.708.559                  ,                      XILINX INC                  ,                                                21:19                                        ,2018-11-09,"                      85,750                  "
515,                      29.358.479                  ,                      ACTIVISION I                  ,                                                21:19                                        ,2018-11-09,"                      54,500                  "
516,                      1.767.772                  ,                      ADOBE SYSTEM                  ,                                                21:19                                        ,2018-11-09,"                      244,150                  "
517,                      905.616                  ,                      ALEXION PHAR                  ,                                                21:19                                        ,2018-11-09,"                      123,770                  "
518,                      1.476.756                  ,                      ALIGN TECH                  ,                                                21:19                                        ,2018-11-09,"                      236,190                  "
519,                      1.006.104                  ,                      ALPHABET A                  ,                                                21:19                                        ,2018-11-09,"                      1.075,570                  "
520,                      964.389                  ,                      ALPHABET C                  ,                                                21:19                                        ,2018-11-09,"                      1.064,720                  "
521,                      4.798.143                  ,                      AMAZON.COM                  ,                                                21:19                                        ,2018-11-09,"                      1.718,630                  "
522,                      4.622.065                  ,                      AMER.AIR.GRP                  ,                                                21:19                                        ,2018-11-09,"                      36,550                  "
523,                      1.312.015                  ,                      AMGEN INC                  ,                                                21:19                                        ,2018-11-09,"                      193,015                  "
524,                      2.220.042                  ,                      ANALOG DEVIC                  ,                                                21:19                                        ,2018-11-09,"                      87,515                  "
525,                      25.241.979                  ,                      APPLE INC                  ,                                                21:19                                        ,2018-11-09,"                      204,300                  "
526,                      5.370.039                  ,                      APPLI.MATLS.                  ,                                                21:19                                        ,2018-11-09,"                      34,305                  "
527,                      1.272.493                  ,                      ASML HOLDING                  ,                                                21:19                                        ,2018-11-09,"                      174,000                  "
528,                      1.016.509                  ,                      AUTODESK INC                  ,                                                21:19                                        ,2018-11-09,"                      135,470                  "
529,                      1.210.875                  ,                      AUTOMAT.DATA                  ,                                                21:19                                        ,2018-11-09,"                      147,050                  "
